id,user_id,version_no,name,description,created_at,updated_at,applications,categories,business_objects,runnable,running,job_succeeded_count,job_failed_count,parent_id
8908033,69632,1,List Contacts for forecasted Opportunities without recent sales activity,"Contact these Opportunities

Opportunities closing this month with last activity date &gt; 30 days ago. Limited to 10 results. ",2019-02-04T09:22:22.833-08:00,2019-02-08T15:26:42.846-08:00,"{skype_bot,salesforce,skype_bot}","{Bots,""Artificial Intelligence"",CRM,Marketing}","{command,user,message,opportunity,account}",FALSE,FALSE,0,0,491367
9890804,69632,1,Show Opportunity details,Show Opportunity details in Salesforce,2019-02-04T09:22:23.115-08:00,2019-02-08T15:26:42.823-08:00,"{skype_bot,salesforce,skype_bot}","{Bots,""Artificial Intelligence"",CRM,Marketing}","{command,opportunity,message,account}",FALSE,FALSE,0,0,491369
1890806,69632,1,List recents Tickets in Zendesk,List recent tickets in Zendesk,2019-02-04T09:22:23.543-08:00,2019-02-08T15:26:42.777-08:00,"{skype_bot,skype_bot,zendesk}","{Bots,""Artificial Intelligence"",""Customer Service""}","{command,message,ticket}",FALSE,FALSE,0,0,493053
1890807,69632,1,Create Ticket in Zendesk,Create Ticket in Zendesk,2019-02-04T09:22:23.775-08:00,2019-02-08T15:26:42.755-08:00,"{skype_bot,skype_bot,zendesk}","{Bots,""Artificial Intelligence"",""Customer Service""}","{command,message,ticket}",FALSE,FALSE,0,0,493056
8830654,68728,1,List Open Cases,"Top Priority Open Cases 

Posted Daily at 9am Limited to 10 results. 
",2019-01-17T14:03:51.609-08:00,2019-01-17T14:03:51.609-08:00,"{skype_bot,salesforce,skype_bot}","{Bots,""Artificial Intelligence"",CRM,Marketing}","{command,case,message,user}",FALSE,FALSE,0,0,491358
8830656,54427,10,New Estimate on QB Creates / Updates Salesforce Opportunity,### heading text New estimate in QuickBooks will create opportunity and lines Salesforce,2019-02-15T15:30:40.502-08:00,2019-02-20T21:53:51.796-08:00,"{quickbooks,salesforce,email}","{Accounting,CRM,Marketing,""Recipe Tools""}","{account,email,opportunity,opportunity}",FALSE,FALSE,1,1,571412
8830658,54810,3,New event via HTTP polling will insert batch of rows in a table in MySQL,"When there is a new event via HTTP polling, insert batch of rows in a table in MySQL",2019-02-14T21:49:12.825-08:00,2019-02-14T21:49:51.130-08:00,"{rest,logger}","{""Developer Tool"",""API Integration"",""Recipe Tools""}",{},FALSE,FALSE,0,0,895982
8830660,17354,1,Adhoc Add from Opp List (Prod),"When there is a new row in a table in MySQL, call recipe  ",2019-02-05T01:03:40.403-08:00,2019-02-05T01:03:40.403-08:00,"{mysql,workato_service}","{Database,""Recipe Tools""}",{},FALSE,FALSE,1,1,834148
8830662,69475,10,Delete all files in Google Drive on a daily interval,"When there is a trigger event, do action",2019-02-06T17:09:55.122-08:00,2019-02-08T06:47:48.914-08:00,"{clock,google_drive}","{""Recipe Tools"",Document/File}",{},FALSE,TRUE,28,0,
8830664,23019,1,New Infusionsoft Order to QuickBooks Invoice (US Only),"Recipe Title : **Sync new Infusionsoft invoices and lines to QuickBooks**

---------------------------------------
**Important Notes : **  

### Please Read through this Description before starting the recipe. 


---------------------------------------
### What this recipe Does :


Advanced recipe: Creates a new QuickBooks Invoice for any new Infusionsoft Order Created.

- There is an additional wait time of 5 minutes (excluding polling cycle) to allow for your Order Line Items to be created when the order is created.
- If the Infusionsoft Order has no Line Items, it will not create any Invoice in QuickBooks
- No duplicates are created, and no updates are made to existing invoice.
- Voided QuickBooks that were synced from Infusionsoft will not be picked up.

_Contact Syncing_
Contact is created if it does not exist in your QuickBooks.
- Contact is created based on the provided format that you'd prefer for First Name, Last Name, and Company Name. Please see Configuration Parameter for more details.
- If the Order's Contact DOES NOT have EITHER First Name, Last Name, AND Company Name, The Order will not be synced, and you will be notified on your Job Report as well as Email Notification.

_Item Syncing_
Items are created based on the products associated with each Order Line Items.
- If the Item does not exist in your QuickBooks, one will be created.
- Items are matched based on Product Name as the Item Name.
- Items are taxable If the Product in Infusionsoft is also Taxable.

_Ad-Hoc Item_
If an Order Line Item does not associate with a PRODUCT in Infusionsoft, that line item will exist in QuickBooks Invoice as the Ad-Hoc Item. 
- Ad-Hoc Items are Taxable IF it has been specified in the configuration as Taxable.

-----------------------------------
### Parameters

Parameters are configurations available to provide a level of customisations for essential components such as Taxes and Currencies.
	     - Note : Make sure that all parameters are set correctly BEFORE starting the recipe. It will affect the behaviour of your recipes. 

**Income Account :** The Account where newly created Item will be associated with.

**Currency Code : **Choose the currency that you use for your QuickBooks.

**Tax Option :**  Specify if your invoices should be taxable, or it should be decided based on QuickBook's Item

**Tax Code : **If taxable, Specify which tax should the invoice use

**Ad-Hoc Item :** If your Infusionsoft Invoice contains line items that do not have any associated product, this item will be used in its place in QuickBooks' Invoice

**Adhoc Item Tax treatment  : ** Decide if the Adhoc Item should be taxable or not

**Additional Wait Time :** Choose yes if you do take time to add your order items. Ideally to choose additional wait times(+5mins) if you manually enter your orders and usually takes more than 3 minutes to add them in.

**Customer/Client name format :** You can choose how you would like to display your client/customer in your invoices based on the permutations of First Name , Last Name and Company Name.
 
	
----------------------------------
### Support

For all enquiries, troubleshooting, and recipe behaviour related questions, please post them here : https://support.workato.com/support/discussions

Learn more about Workato 
https://support.workato.com/support/solutions

Questions? Contact us at
 [support@workato.com](mailto:support@workato.com)",2019-01-18T04:57:39.837-08:00,2019-01-18T04:57:39.837-08:00,"{infusionsoft,clock,infusionsoft,quickbooks,email,utility}","{CRM,Marketing,""Recipe Tools"",Accounting}","{invoice,item,contact,email,customer,product,order}",FALSE,FALSE,0,0,281523
